2510090001	97553
2510090002	30020
2510090003	65193
2510090004	19032
2510090005	84396
2510090006	45942
2510090007	69490
2510090008	19592
2510090009	76569
2510090010	90564
2510090011	49137
2510090012	28622
2510090013	20415
2510090014	41157
2510090015	87164
2510090016	44233
2510090017	03616
2510090018	66829
2510090019	54230
2510090020	08346
2510090021	95925
2510090022	50524
2510090023	03051
2510090024	99663
2510090025	86319
2510090026	22602
2510090027	60568
2510090028	11727
2510090029	87164
2510090030	44633
2510090031	39891
2510090032	12176
2510090033	51516
2510090034	91105
2510090035	13560
2510090036	51081
2510090037	57217
2510090038	22379
2510090039	10079
2510090040	12336
2510090041	81363
2510090042	95234
2510090043	60528
2510090044	23921
2510090045	33929
2510090046	26825
2510090047	46460
2510090048	39227
2510090049	83236
2510090050	33304
2510090051	63947
2510090052	44393
2510090053	67660
2510090054	22911
2510090055	63184
2510090056	05644
2510090057	74297
2510090058	45923
2510090059	30723
2510090060	10662
2510090061	48284
2510090062	70341
2510090063	36805
2510090064	12469
2510090065	81511
2510090066	84419
2510090067	75719
2510090068	51890
2510090069	98063
2510090070	95778
2510090071	54474
2510090072	84629
2510090073	53669
2510090074	52610
2510090075	47583
2510090076	81812
2510090077	50670
2510090078	51554
2510090079	75719
2510090080	61652
2510090081	18468
2510090082	87056
2510090083	38595
2510090084	89016
2510090085	47513
2510090086	52796
2510090087	48898
2510090088	12251
2510090089	38231
2510090090	62919
2510090091	01395
2510090092	56920
2510090093	35522
2510090094	07750
2510090095	96406
2510090096	99436
2510090097	99968
2510090098	18250
2510090099	09309
2510090100	95645
2510090101	13261
2510090102	07502
2510090103	07674
2510090104	60524
2510090105	32195
2510090106	19791
2510090107	53083
2510090108	36016
2510090109	18992
2510090110	73513
2510090111	75316
2510090112	57407
2510090113	28983
2510090114	09495
2510090115	09487
2510090116	53875
2510090117	05941
2510090118	88997
2510090119	57119
2510090120	17838
2510090121	93442
2510090122	79231
2510090123	34585
2510090124	22774
2510090125	29220
2510090126	92563
2510090127	27821
2510090128	78040
2510090129	21486
2510090130	52787
2510090131	47638
2510090132	92675
2510090133	52525
2510090134	41208
2510090135	07148
2510090136	44585
2510090137	79993
2510090138	16251
2510090139	57435
2510090140	68322
2510090141	55263
2510090142	84112
2510090143	99446
2510090144	20735
2510090145	71872
2510090146	23033
2510090147	48023
2510090148	34218
2510090149	01675
2510090150	95273
2510090151	26334
2510090152	06240
2510090153	11229
2510090154	74825
2510090155	18577
2510090156	71437
2510090157	32157
2510090158	92531
2510090159	86387
2510090160	35537
2510090161	00735
2510090162	87710
2510090163	09716
2510090164	80857
2510090165	35981
2510090166	37957
2510090167	36568
2510090168	43892
2510090169	88603
2510090170	37706
2510090171	56214
2510090172	05915
2510090173	18020
2510090174	42991
2510090175	37862
2510090176	77870
2510090177	51143
2510090178	67551
2510090179	01889
2510090180	88623
2510090181	88446
2510090182	13227
2510090183	12353
2510090184	93141
2510090185	99405
2510090186	01819
2510090187	06400
2510090188	38074
2510090189	15819
2510090190	64331
2510090191	69277
2510090192	63729
2510090193	74503
2510090194	27427
2510090195	98978
2510090196	55353
2510090197	51096
2510090198	71892
2510090199	27733
2510090200	75491
2510090201	38756
2510090202	47761
2510090203	50771
2510090204	39742
2510090205	10451
2510090206	10895
2510090207	63738
2510090208	19634
2510090209	06634
2510090210	13010
2510090211	78766
2510090212	13575
2510090213	74665
2510090214	93319
2510090215	89147
2510090216	66041
2510090217	44697
2510090218	83449
2510090219	37812
2510090220	84556
2510090221	75866
2510090222	03816
2510090223	19639
2510090224	95021
2510090225	72760
2510090226	24052
2510090227	45123
2510090228	69385
2510090229	78738
2510090230	29391
2510090231	83595
2510090232	56743
2510090233	87877
2510090234	54719
2510090235	65387
2510090236	35639
2510090237	95014
2510090238	12657
2510090239	69227
2510090240	59469
2510090241	40779
